url,week_id,week_position,song,performer,song_id,instance,previous_week_position,peak_position,weeks_on_chart,week_date,year
https://www.billboard.com/charts/hot-100/2018-06-30,6/30/2018,53,Bigger > You,"2 Chainz, Drake & Quavo","Bigger > You2 Chainz, Drake & Quavo",1,NA,53,1,2018-06-30,2018
http://www.billboard.com/charts/hot-100/2014-11-15,11/15/2014,54,Only,"Nicki Minaj Featuring Drake, Lil Wayne & Chris Brown","OnlyNicki Minaj Featuring Drake, Lil Wayne & Chris Brown",1,NA,54,1,2014-11-15,2014
http://www.billboard.com/charts/hot-100/2015-02-21,2/21/2015,54,Blessings,Big Sean Featuring Drake,BlessingsBig Sean Featuring Drake,1,NA,54,1,2015-02-21,2015
https://www.billboard.com/charts/hot-100/2018-09-01,9/1/2018,18,Nonstop,Drake,NonstopDrake,1,21,2,8,2018-09-01,2018
https://www.billboard.com/charts/hot-100/2018-07-14,7/14/2018,2,Nonstop,Drake,NonstopDrake,1,NA,2,1,2018-07-14,2018
http://www.billboard.com/charts/hot-100/2011-09-03,9/3/2011,3,She Will,Lil Wayne Featuring Drake,She WillLil Wayne Featuring Drake,1,NA,3,1,2011-09-03,2011
https://www.billboard.com/charts/hot-100/2020-08-01,8/1/2020,3,Popstar,DJ Khaled Featuring Drake,PopstarDJ Khaled Featuring Drake,1,NA,3,1,2020-08-01,2020
http://www.billboard.com/charts/hot-100/2010-09-04,9/4/2010,6,Right Above It,Lil Wayne Featuring Drake,Right Above ItLil Wayne Featuring Drake,1,NA,6,1,2010-09-04,2010
http://www.billboard.com/charts/hot-100/2016-02-20,2/20/2016,6,Summer Sixteen,Drake,Summer SixteenDrake,1,NA,6,1,2016-02-20,2016
https://www.billboard.com/charts/hot-100/2018-02-03,2/3/2018,7,Diplomatic Immunity,Drake,Diplomatic ImmunityDrake,1,NA,7,1,2018-02-03,2018
https://www.billboard.com/charts/hot-100/2020-05-16,5/16/2020,7,Pain 1993,Drake Featuring Playboi Carti,Pain 1993Drake Featuring Playboi Carti,1,NA,7,1,2020-05-16,2020
http://www.billboard.com/charts/hot-100/2017-04-08,4/8/2017,8,Passionfruit,Drake,PassionfruitDrake,1,NA,8,1,2017-04-08,2017
http://www.billboard.com/charts/hot-100/2011-12-03,12/3/2011,9,Take Care,Drake Featuring Rihanna,Take CareDrake Featuring Rihanna,1,NA,9,1,2011-12-03,2011
http://www.billboard.com/charts/hot-100/2017-04-08,4/8/2017,9,Portland,Drake Featuring Quavo & Travis Scott,PortlandDrake Featuring Quavo & Travis Scott,1,NA,9,1,2017-04-08,2017
https://www.billboard.com/charts/hot-100/2021-05-01,5/1/2021,12,Solid,Young Thug & Gunna Featuring Drake,SolidYoung Thug & Gunna Featuring Drake,1,NA,12,1,2021-05-01,2021
